"lastUpdate","description","srcurl_web","srcurl_pdf","srcurl_pdf_archived","url_csv","url_json"
"2021-04-03","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17882.html","https://www.mhlw.go.jp/content/10906000/000765245.pdf","https://www.stopcovid19.jp/data/covid19japan/000765245.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-03.csv","https://www.stopcovid19.jp/data/covid19japan/000765245.pdf.json"
"2021-04-04","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17888.html","https://www.mhlw.go.jp/content/10906000/000765358.pdf","https://www.stopcovid19.jp/data/covid19japan/000765358.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-04.csv","https://www.stopcovid19.jp/data/covid19japan/000765358.pdf.json"
"2021-04-05","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17903.html","https://www.mhlw.go.jp/content/10906000/000765744.pdf","https://www.stopcovid19.jp/data/covid19japan/000765744.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-05.csv","https://www.stopcovid19.jp/data/covid19japan/000765744.pdf.json"
"2021-04-06","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17923.html","https://www.mhlw.go.jp/content/10906000/000766350.pdf","https://www.stopcovid19.jp/data/covid19japan/000766350.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-06.csv","https://www.stopcovid19.jp/data/covid19japan/000766350.pdf.json"
"2021-04-07","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17946.html","https://www.mhlw.go.jp/content/10906000/000766743.pdf","https://www.stopcovid19.jp/data/covid19japan/000766743.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-07.csv","https://www.stopcovid19.jp/data/covid19japan/000766743.pdf.json"
"2021-04-08","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17971.html","https://www.mhlw.go.jp/content/10906000/000767321.pdf","https://www.stopcovid19.jp/data/covid19japan/000767321.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-08.csv","https://www.stopcovid19.jp/data/covid19japan/000767321.pdf.json"
"2021-04-09","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17993.html","https://www.mhlw.go.jp/content/10906000/000767905.pdf","https://www.stopcovid19.jp/data/covid19japan/000767905.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-09.csv","https://www.stopcovid19.jp/data/covid19japan/000767905.pdf.json"
"2021-04-10","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17996.html","https://www.mhlw.go.jp/content/10906000/000767935.pdf","https://www.stopcovid19.jp/data/covid19japan/000767935.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-10.csv","https://www.stopcovid19.jp/data/covid19japan/000767935.pdf.json"
"2021-04-11","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18000.html","https://www.mhlw.go.jp/content/10906000/000768004.pdf","https://www.stopcovid19.jp/data/covid19japan/000768004.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-11.csv","https://www.stopcovid19.jp/data/covid19japan/000768004.pdf.json"
"2021-04-12","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18026.html","https://www.mhlw.go.jp/content/10906000/000768323.pdf","https://www.stopcovid19.jp/data/covid19japan/000768323.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-12.csv","https://www.stopcovid19.jp/data/covid19japan/000768323.pdf.json"
