都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典,入院患者フェーズ,入院患者病床使用率,入院患者即応病床数,重症者フェーズ,重症患者病床使用率,重症患者即応病床数,宿泊療養フェーズ,宿泊療養施設居室使用率,宿泊療養施設施設居室,入院患者受入即応病床数,入院率,重症患者受入即応病床数,宿泊施設受入即応室数,うち社会福祉施設等療養者数,療養先調整中の人数,うち入院先調整中の人数,入院者数（確保病床）,入院者数（臨時）,入院患者受入確保病床（臨時）,うち重症者数（確保病床）,うち重症者数（臨時確保病床）,うち重症患者受入確保病床数（臨時）,うち宿泊療養者数（臨時）,うち宿泊施設受入可能室数（臨時）,臨時施設療養者数,臨時施設フェーズ,臨時施設即応定員数,臨時施設確保定員数,臨時施設確保定員使用率
8,茨城県,76,54,151,600,5,,,14,175,8,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,栃木県,30,26,130,250,5,,,4,111,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,群馬県,80,69,165,180,1,,,11,150,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,埼玉県,454,262,575,600,16,,,61,1055,131,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,千葉県,527,245,807,1700,18,,,37,526,177,68,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,東京都,2196,1511,3300,4000,93,,,149,2865,312,25,199,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,神奈川県,464,214,1082,2800,34,,,76,2323,174,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,新潟県,32,29,411,766,0,,,3,50,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,富山県,128,87,500,500,1,,,10,100,9,22,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,石川県,153,113,233,520,6,,,37,170,0,0,3,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,福井県,25,25,131,350,3,,,0,115,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,山梨県,11,10,80,400,1,,,1,21,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,長野県,40,40,300,300,2,,,0,200,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
