"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"26","京都府","119","75","２／３","530","14%","750","12","２／３","86","14%","86","15","２／３","338","4%","338","29","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"27","大阪府","453","193","２／４","1361","14%","1615","45","２／４","355","13%","215","93","１／３","560","17%","1036","55","0","112","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"28","兵庫県","130","106","２／５","663","16%","650","13","２／５","110","12%","120","24","２／５","698","3%","700","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"29","奈良県","27","27","１／３","467","6%","500","1","１／３","25","4%","25","0","１／３","108","0%","108","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"30","和歌山県","10","10","２／４","400","3%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"31","鳥取県","1","1","１／３","313","0%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"32","島根県","0","0","１／５","253","0%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"33","岡山県","12","10","１／４","257","4%","250","2","１／４","37","5%","40","1","１／４","207","0%","180","1","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"34","広島県","49","43","１／３","553","8%","500","1","１／３","72","1%","70","2","１／３","854","0%","700","4","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"35","山口県","9","9","１／４","423","2%","423","1","１／４","102","1%","102","0","１／４","834","0%","834","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"36","徳島県","0","0","２／４","200","0%","200","0","２／４","25","0%","25","0","２／４","150","0%","150","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"37","香川県","3","2","１／３","185","1%","185","0","１／３","25","0%","25","1","１／３","101","1%","101","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"38","愛媛県","1","1","１／３","229","0%","223","0","１／３","33","0%","33","0","１／３","117","0%","117","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"39","高知県","1","1","１／４","192","1%","200","0","１／４","57","0%","57","0","１／４","361","0%","190","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"40","福岡県","70","40","２／３","551","7%","760","7","２／３","90","8%","110","11","２／３","1057","1%","1200","19","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"41","佐賀県","3","0","１／４","274","0%","274","0","１／４","46","0%","46","3","１／４","253","1%","253","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"42","長崎県","4","0","２／４","395","0%","395","0","２／４","27","0%","42","2","２／４","224","1%","550","2","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"43","熊本県","93","70","２／３","400","18%","400","1","２／３","59","2%","59","17","２／３","1430","1%","140","6","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"44","大分県","1","1","１／４","330","0%","330","0","１／４","41","0%","41","0","１／２","700","0%","170","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"45","宮崎県","0","0","１／３","246","0%","246","0","１／３","33","0%","33","0","１／３","250","0%","250","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"46","鹿児島県","21","6","３／４","253","2%","300","0","３／４","48","0%","48","13","３／４","370","4%","370","2","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"47","沖縄県","240","160","４／５","438","37%","425","25","４／５","57","44%","51","47","３／５","340","14%","340","33","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
