japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji,__index_level_0__
JP-34,HIROSHIMA,2021-11-30 00:00:00 UTC,22140.44921875,22136.630859375,22738.44921875,202.93605041503906,202.89630126953125,219.55007934570312,8.9053421020507812,8.8988494873046875,31.863649368286133,21907.083984375,21903.37109375,22301.248046875,,,,,2021-11-04 00:00:00 UTC,0.0169525146484375,1.931640625,,,広島県,1901
JP-34,HIROSHIMA,2021-12-01 00:00:00 UTC,22142.494140625,22138.65234375,22746.73828125,202.95622253417969,202.91616821289062,219.71237182617188,8.5965118408203125,8.5901956558227539,30.904497146606445,21909.396484375,21905.66015625,22308.962890625,,,,,2021-11-04 00:00:00 UTC,0.020172119140625,2.044921875,,,広島県,1902
JP-34,HIROSHIMA,2021-12-02 00:00:00 UTC,22144.259765625,22140.39453125,22754.53515625,202.97247314453125,202.93214416503906,219.86036682128906,8.026698112487793,8.0207586288452148,28.977640151977539,21911.60546875,21907.84765625,22316.53515625,,,,,2021-11-04 00:00:00 UTC,0.0162506103515625,1.765625,,,広島県,1903
JP-35,YAMAGUCHI,2021-11-05 00:00:00 UTC,5744.8359375,5744.72998046875,5766.80615234375,93.042556762695312,93.040596008300781,93.872955322265625,30.917373657226562,30.914804458618164,39.402202606201172,5620.07470703125,5619.97314453125,5632.07470703125,,,,,2021-11-04 00:00:00 UTC,0.0425567626953125,0.8359375,,,山口県,1932
JP-35,YAMAGUCHI,2021-11-06 00:00:00 UTC,5745.68701171875,5745.484375,5787.37890625,93.065475463867188,93.061752319335938,94.647163391113281,28.205854415893555,28.201505661010742,42.908473968505859,5622.88525390625,5622.69189453125,5645.9287109375,,,,,2021-11-04 00:00:00 UTC,0.022918701171875,0.85107421875,,,山口県,1933
JP-35,YAMAGUCHI,2021-11-07 00:00:00 UTC,5746.1220703125,5745.833984375,5804.97607421875,93.10711669921875,93.1017837524414,95.379257202148438,25.534608840942383,25.529014587402344,44.494258880615234,5625.7275390625,5625.4521484375,5659.5087890625,,,,,2021-11-04 00:00:00 UTC,0.0416412353515625,0.43505859375,,,山口県,1934
JP-35,YAMAGUCHI,2021-11-08 00:00:00 UTC,5746.35595703125,5745.9912109375,5818.861328125,93.146621704101562,93.139846801757812,96.03314208984375,23.119222640991211,23.112821578979492,44.901138305664062,5628.3427734375,5627.9931640625,5671.32861328125,,,,,2021-11-04 00:00:00 UTC,0.0395050048828125,0.23388671875,,,山口県,1935
JP-35,YAMAGUCHI,2021-11-09 00:00:00 UTC,5746.80859375,5746.37451171875,5830.5712890625,93.185089111328125,93.177017211914062,96.621337890625,21.181941986083984,21.174982070922852,44.950813293457031,5630.775390625,5630.3583984375,5681.82666015625,,,,,2021-11-04 00:00:00 UTC,0.0384674072265625,0.45263671875,,,山口県,1936
JP-35,YAMAGUCHI,2021-11-10 00:00:00 UTC,5747.26708984375,5746.7705078125,5840.57177734375,93.229698181152344,93.220451354980469,97.163764953613281,19.412639617919922,19.405351638793945,44.337139129638672,5633.0302734375,5632.552734375,5691.44482421875,,,,,2021-11-04 00:00:00 UTC,0.04460906982421875,0.45849609375,,,山口県,1937
JP-35,YAMAGUCHI,2021-11-11 00:00:00 UTC,5747.54248046875,5746.99072265625,5849.15966796875,93.263031005859375,93.2527084350586,97.6502456665039,17.620491027832031,17.613126754760742,42.804084777832031,5635.06494140625,5634.533203125,5700.400390625,,,,,2021-11-04 00:00:00 UTC,0.03333282470703125,0.275390625,,,山口県,1938
